,url,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_underscore,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolon,nb_dollar,nb_space,nb_www,nb_com,nb_tilde,url_length,length_hostname,ratio_digits_url,ratio_digits_host,web_traffic,ip_present,prefix_suffix,https_token,domain_age,dns_record,tiny_url,redirection,url_depth,protocol,protocol_count,special_char,status
0,http://www.mobilemoneyavalanche.com/update/www.wellsfargo.com/wellsfargo/zooka123.php?id,5,0,0,1,0,0,0,0,6,0,1,0,0,0,0,2,2,0,88,28,0.03409,0.0,0,0,0,0,0,0,0,0,4,1,1,1,phishing
1,http://www.mayfairfoods.in/wp-content/themes/twentyfifteen/le-groupe-edf-2.html/,3,4,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,80,19,0.0125,0.0,0,0,0,0,0,1,0,0,4,1,1,0,phishing
2,http://www.kst365.com/js/?dest&amp;https://secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;jxgtnjkamp;ssl=0,5,0,0,2,2,0,0,0,8,0,2,0,3,0,0,2,2,0,116,14,0.03448,0.21429,0,1,0,0,5238,1,0,1,1,1,2,10,phishing
3,http://mail.inifapcirpac.gob.mx/Desarrollo/Sigin-inverify.html,4,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,62,24,0.0,0.0,0,1,0,0,0,1,0,0,2,1,1,0,phishing
4,https://medium.com/@brianforde/hi-matt-that-s-good-to-hear-i-think-one-of-the-challenges-with-material-business-changes-is-8a19057a0114?source=latest,1,18,1,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,149,10,0.06711,0.0,97,1,0,1,0,1,0,0,2,0,1,2,legitimate
5,http://codecanyon.net/search?category=wordpress&date=this-month&length_max=&length_min=&price_max=&price_min=&rating_min=&sales=&sort=sales&term=&utf8=%E2%9C%93&view=list,1,1,0,1,11,0,5,3,3,0,1,0,0,0,0,0,0,0,170,14,0.02941,0.0,934,1,0,0,0,1,0,0,1,1,1,29,legitimate
6,http://thenextweb.com/apps/2015/05/13/google-fit-can-finally-track-how-many-calories-youre-burning-gets-its-own-watchface/gtm.js,2,13,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,128,14,0.0625,0.0,7200,1,0,0,0,1,0,0,6,1,1,0,legitimate
7,http://ap.org/Content/Press-Release/2013/AP-and-Green-Light-Learning-Tools-publish-iBook-on-US-presidency,1,11,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,105,6,0.0381,0.0,2716,1,0,0,0,1,0,0,4,1,1,0,legitimate
8,http://zozo.jp/shop/abahouse/?price=proper&p_ssy=2015&p_ssm=5&p_ssd=13&p_sey=2015&p_sem=5&p_sed=13&dstk=2,1,0,0,1,7,0,6,0,5,0,1,0,0,0,0,0,0,0,105,7,0.14286,0.0,1616,1,0,0,0,1,0,0,2,1,1,22,legitimate
9,http://thenextweb.com/apple/2014/09/26/apple-begins-selling-iphone-6-iphone-6-plus-20-new-countries/gtm.start,2,10,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,0,109,14,0.11009,0.0,7200,1,0,0,0,1,0,0,6,1,1,0,legitimate
10,http://appleid.apple.co.uk.cgi-bin.webobjects.myappleid.woa.verify9.id-app7.co.uk/identify-customer=8lMs39YzCGO8NzfY89ssxCK62KhBXFoOgCznJGlh0Ka8fT1yzaoj7CykngppBFzqDYCfpuu0BXlEHTuTsRcuwiMb3o4vhr3eZYcL/,11,3,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,201,74,0.08955,0.02703,0,0,1,0,0,0,0,0,1,1,1,1,phishing
11,http://www.acqf.info/page/vote.php?pid=93,3,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,1,0,41,13,0.04878,0.0,0,0,0,0,0,1,0,0,2,1,1,2,phishing
12,http://sourceforge.net/directory/business-enterprise/add_facet_filter?facet=os&constraint=Grouping+and+Descriptive+Categories+%3A%3A+OS+Independent+%28Written+in+an+interpreted+language%29,1,1,0,1,1,0,2,4,5,0,1,0,0,0,0,0,0,0,188,15,0.03191,0.0,443,1,0,0,8147,1,0,0,3,1,1,6,legitimate
13,http://9gag.tv/p/aK3ygg/apparently-kid-noah-s-interview-is-now-mashed-up-to-a-song-songify-this,1,13,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,95,7,0.02105,0.14286,5816557,1,0,0,0,1,0,0,3,1,1,0,legitimate
14,http://maybank2u.com.my/mbb_info/m2u/public/promoDetail.do?channelId=PRO-Promotions&cntTypeId=1&cntKey=PRO09.21&programId=PRO09-OnlineBanking&chCatId=/mbb/Personal/PRO-Promotions,4,3,0,1,4,0,1,0,9,0,1,0,0,0,0,1,0,0,178,16,0.05056,0.0625,5638,1,0,0,0,1,0,0,4,1,1,11,legitimate
15,http://pastehtml.com/view/bpof86znd.html,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,40,13,0.05,0.0,1585374,1,0,0,0,1,0,0,2,1,1,0,phishing
16,https://medium.com/human-parts/i-dream-of-you-at-lunchtime-to-keep-from-growing-bitter-21fab5ed5b40?source=latest,1,12,0,1,0,0,0,0,4,0,1,0,0,0,0,1,0,0,113,10,0.0531,0.0,97,1,0,1,0,1,0,0,2,0,1,2,legitimate
17,http://techcrunch.com/2014/03/27/boston-and-l-a-pitch-off-applications-close-on-monday/,1,9,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,87,14,0.09195,0.0,427,1,0,0,0,1,0,0,4,1,1,0,legitimate
18,http://www.terraluzseguros.com.br/kaffy/joan/jas/,3,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,1,0,49,26,0.0,0.0,0,0,0,0,0,1,0,0,3,1,1,0,phishing
